day_unix,eth_usd_cents
1528156800,60823
1528243200,60630
1528329600,60444
1528416000,60067
1528502400,59486
1528588800,52474
1528675200,53115
1528761600,49453
1528848000,47630
1528934400,51983
1529020800,48751
1529107200,49722
1529193600,49693
1529280000,51763
1529366400,53845
1529452800,53616
1529539200,52576
1529625600,46216
1529712000,47418
1529798400,45525
1529884800,45882
1529971200,42958
1530057600,44175
1530144000,42072
1530230400,43525
1530316800,45342
1530403200,45109
1530489600,47658
1530576000,46195
1530662400,46719
1530748800,46755
1530835200,46993
1530921600,48581
1531008000,48619
1531094400,47148
1531180800,43269
1531267200,44559
1531353600,43112
1531440000,43297
1531526400,43442
1531612800,45034
1531699200,48020
1531785600,49983
1531872000,47985
1531958400,46891
1532044800,44913
1532131200,46113
1532217600,45798
1532304000,44973
1532390400,47839
1532476800,47199
1532563200,46298
1532649600,46994
1532736000,46875
1532822400,46630
1532908800,45622
1532995200,43171
1533081600,41987
1533168000,41136
1533254400,41776
1533340800,40732
1533427200,40937
1533513600,40570
1533600000,37832
1533686400,35557
1533772800,36433
1533859200,33228
1533945600,31862
1534032000,31855
1534118400,28403
1534204800,27831
1534291200,28124
1534377600,28680
1534464000,31757
1534550400,29485
1534636800,30053
1534723200,27161
1534809600,28178
1534896000,27037
1534982400,27666
1535068800,28204
1535155200,27822
1535241600,27481
1535328000,28790
1535414400,29621
1535500800,28920
1535587200,28457
1535673600,28206
1535760000,29577
1535846400,29512
1535932800,28942
1536019200,28573
1536105600,22827
1536192000,22952
1536278400,21569
1536364800,19723
1536451200,19599
1536537600,19720
1536624000,18515
1536710400,18303
1536796800,21127
1536883200,20887
1536969600,22163
1537056000,22012
1537142400,19604
1537228800,20839
1537315200,20978
1537401600,22476
1537488000,24769
1537574400,24079
1537660800,24451
1537747200,22805
1537833600,21920
1537920000,21421
1538006400,22909
1538092800,22156
1538179200,23132
1538265600,23282
1538352000,23096
1538438400,22559
1538524800,22002
1538611200,22220
1538697600,22817
1538784000,22505
1538870400,22602
1538956800,22923
1539043200,22767
1539129600,22520
1539216000,18983
1539302400,19571
1539388800,19930
1539475200,19492
1539561600,21080
1539648000,20967
1539734400,20775
1539820800,20225
1539907200,20301
1539993600,20497
1540080000,20500
1540166400,20364
1540252800,20329
1540339200,20258
1540425600,20170
1540512000,20243
1540598400,20329
1540684800,20454
1540771200,19592
1540857600,19665
1540944000,19802
1541030400,19897
1541116800,20111
1541203200,19990
1541289600,21154
1541376000,20955
1541462400,21934
1541548800,21744
1541635200,21169
1541721600,20952
1541808000,21204
1541894400,21166
1541980800,21031
1542067200,20590
1542153600,18272
1542240000,18153
1542326400,17496
1542412800,17447
1542499200,17739
1542585600,14822
1542672000,13074
1542758400,13650
1542844800,12508
1542931200,12337
1543017600,11266
1543104000,11675
1543190400,10887
1543276800,10987
1543363200,12288
1543449600,11776
1543536000,11291
1543622400,11824
1543708800,11624
1543795200,10832
1543881600,10977
1543968000,10185
1544054400,9043
1544140800,9361
1544227200,9168
1544313600,9449
1544400000,9077
1544486400,8832
1544572800,9038
1544659200,8640
1544745600,8412
1544832000,8430
1544918400,8539
1545004800,9506
1545091200,10193
1545177600,10063
1545264000,11643
1545350400,10940
1545436800,11772
1545523200,13145
1545609600,14087
1545696000,13099
1545782400,13171
1545868800,11672
1545955200,13973
1546041600,13704
1546128000,14104
1546214400,13314
1546300800,14190
1546387200,15610
1546473600,14910
1546560000,15604
1546646400,15622
1546732800,15829
1546819200,15225
1546905600,15068
1546992000,15121
1547078400,12796
1547164800,12699
1547251200,12605
1547337600,11666
1547424000,12971
1547510400,12138
1547596800,12331
1547683200,12405
1547769600,12079
1547856000,12480
1547942400,11848
1548028800,11712
1548115200,11883
1548201600,11709
1548288000,11728
1548374400,11573
1548460800,11638
1548547200,11259
1548633600,10602
1548720000,10474
1548806400,10852
1548892800,10646
1548979200,10672
1549065600,11056
1549152000,10704
1549238400,10661
1549324800,10657
1549411200,10426
1549497600,10369
1549584000,11924
1549670400,11884
1549756800,12522
1549843200,12026
1549929600,12187
1550016000,12173
1550102400,12044
1550188800,12071
1550275200,12262
1550361600,13399
1550448000,14629
1550534400,14406
1550620800,14887
1550707200,14555
1550793600,14819
1550880000,15899
1550966400,13321
1551052800,13852
1551139200,13668
1551225600,13545
1551312000,13569
1551398400,13556
1551484800,13323
1551571200,13072
1551657600,12619
1551744000,13726
1551830400,13783
1551916800,13709
1552003200,13372
1552089600,13746
1552176000,13589
1552262400,13275
1552348800,13369
1552435200,13214
1552521600,13228
1552608000,13666
1552694400,14171
1552780800,13921
1552867200,13766
1552953600,13883
1553040000,13951
1553126400,13534
1553212800,13647
1553299200,13725
1553385600,13620
1553472000,13355
1553558400,13400
1553644800,13971
1553731200,13817
1553817600,14349
1553904000,14257
1553990400,14181
1554076800,14152
1554163200,16502
1554249600,16119
1554336000,15777
1554422400,16631
1554508800,16598
1554595200,17523
1554681600,18074
1554768000,17627
1554854400,17743
1554940800,16514
1555027200,16434
1555113600,16411
1555200000,16819
1555286400,16029
1555372800,16665
1555459200,16683
1555545600,17419
1555632000,17391
1555718400,17395
1555804800,17010
1555891200,17177
1555977600,17060
1556064000,16604
1556150400,15297
1556236800,15561
1556323200,15709
1556409600,15675
1556496000,15510
1556582400,16266
1556668800,16045
1556755200,16205
1556841600,16742
1556928000,16387
1557014400,16345
1557100800,17308
1557187200,16836
1557273600,17126
1557360000,17041
1557446400,17244
1557532800,19273
1557619200,18819
1557705600,19602
1557792000,21730
1557878400,24862
1557964800,26457
1558051200,24475
1558137600,23404
1558224000,26071
1558310400,25243
1558396800,25473
1558483200,24360
1558569600,24551
1558656000,24965
1558742400,25161
1558828800,26798
1558915200,27190
1559001600,27116
1559088000,26938
1559174400,25466
1559260800,26781
1559347200,26463
1559433600,26930
1559520000,24985
1559606400,24100
1559692800,24620
1559779200,24945
1559865600,24968
1559952000,24452
1560038400,23144
1560124800,24793
1560211200,24528
1560297600,26296
1560384000,25522
1560470400,26377
1560556800,26906
1560643200,26848
1560729600,27401
1560816000,26455
1560902400,26895
1560988800,27190
1561075200,29594
1561161600,30957
1561248000,30722
1561334400,31110
1561420800,31617
1561507200,33445
1561593600,29391
1561680000,30962
1561766400,31778
1561852800,29055
1561939200,29414
1562025600,29160
1562112000,30218
1562198400,28293
1562284800,28802
1562371200,28797
1562457600,30648
1562544000,31318
1562630400,30814
1562716800,28881
1562803200,26849
1562889600,27547
1562976000,26899
1563062400,22664
1563148800,22818
1563235200,19865
1563321600,21138
1563408000,22585
1563494400,22130
1563580800,22875
1563667200,22539
1563753600,21715
1563840000,21186
1563926400,21655
1564012800,21909
1564099200,21930
1564185600,20720
1564272000,21113
1564358400,21086
1564444800,21014
1564531200,21863
1564617600,21756
1564704000,21774
1564790400,22214
1564876800,22276
1564963200,23333
1565049600,22602
1565136000,22607
1565222400,22108
1565308800,21037
1565395200,20600
1565481600,21620
1565568000,21135
1565654400,20874
1565740800,18649
1565827200,18813
1565913600,18535
1566000000,18561
1566086400,19475
1566172800,20239
1566259200,19678
1566345600,18723
1566432000,19046
1566518400,19447
1566604800,19102
1566691200,18661
1566777600,18843
1566864000,18713
1566950400,17297
1567036800,16897
1567123200,16854
1567209600,17218
1567296000,17134
1567382400,17877
1567468800,17903
1567555200,17497
1567641600,17365
1567728000,16908
1567814400,17815
1567900800,18174
1567987200,18072
1568073600,17995
1568160000,17829
1568246400,18105
1568332800,18152
1568419200,18865
1568505600,18924
1568592000,19763
1568678400,20785
1568764800,21038
1568851200,22104
1568937600,21818
1569024000,21525
1569110400,21128
1569196800,20097
1569283200,16666
1569369600,17038
1569456000,16610
1569542400,17428
1569628800,17393
1569715200,16969
1569801600,18134
1569888000,17644
1569974400,18109
1570060800,17515
1570147200,17610
1570233600,17710
1570320000,17035
1570406400,18040
1570492800,18104
1570579200,19343
1570665600,19196
1570752000,18088
1570838400,18006
1570924800,18152
1571011200,18710
1571097600,18072
1571184000,17495
1571270400,17741
1571356800,17340
1571443200,17231
1571529600,17583
1571616000,17433
1571702400,17138
1571788800,16253
1571875200,16102
1571961600,18166
1572048000,17990
1572134400,18423
1572220800,18214
1572307200,19102
1572393600,18331
1572480000,18251
1572566400,18345
1572652800,18326
1572739200,18203
1572825600,18626
1572912000,18899
1572998400,19125
1573084800,18647
1573171200,18360
1573257600,18518
1573344000,18933
1573430400,18474
1573516800,18706
1573603200,18802
1573689600,18473
1573776000,17996
1573862400,18264
1573948800,18410
1574035200,17814
1574121600,17593
1574208000,17466
1574294400,16112
1574380800,15000
1574467200,15244
1574553600,14047
1574640000,14633
1574726400,14770
1574812800,15304
1574899200,15123
1574985600,15508
1575072000,15204
1575158400,15123
1575244800,14920
1575331200,14766
1575417600,14567
1575504000,14836
1575590400,14906
1575676800,14752
1575763200,15094
1575849600,14753
1575936000,14576
1576022400,14337
1576108800,14485
1576195200,14487
1576281600,14203
1576368000,14272
1576454400,13291
1576540800,12223
1576627200,13313
1576713600,12822
1576800000,12844
1576886400,12744
1576972800,13231
1577059200,12800
1577145600,12786
1577232000,12497
1577318400,12562
1577404800,12636
1577491200,12818
1577577600,13467
1577664000,13145
1577750400,12902
1577836800,13057
1577923200,12705
1578009600,13424
1578096000,13420
1578182400,13550
1578268800,14415
1578355200,14289
1578441600,14047
1578528000,13774
1578614400,14480
1578700800,14252
1578787200,14637
1578873600,14349
1578960000,16566
1579046400,16604
1579132800,16410
1579219200,16998
1579305600,17391
1579392000,16692
1579478400,16664
1579564800,16909
1579651200,16797
1579737600,16251
1579824000,16240
1579910400,16066
1579996800,16766
1580083200,16970
1580169600,17582
1580256000,17347
1580342400,18442
1580428800,17965
1580515200,18365
1580601600,18837
1580688000,18968
1580774400,18839
1580860800,20386
1580947200,21287
1581033600,22324
1581120000,22321
1581206400,22865
1581292800,22319
1581379200,23774
1581465600,26594
1581552000,26852
1581638400,28564
1581724800,26467
1581811200,25995
1581897600,26750
1581984000,28308
1582070400,25879
1582156800,25771
1582243200,26562
1582329600,26210
1582416000,27558
1582502400,26586
1582588800,24679
1582675200,22397
1582761600,22759
1582848000,22775
1582934400,21791
1583020800,21827
1583107200,23209
1583193600,22396
1583280000,22487
1583366400,22878
1583452800,24568
1583539200,23764
1583625600,19975
1583712000,20306
1583798400,20060
1583884800,19482
1583971200,11023
1584057600,13518
1584144000,12270
1584230400,12364
1584316800,11134
1584403200,11620
1584489600,11860
1584576000,13681
1584662400,13331
1584748800,13283
1584835200,12251
1584921600,13664
1585008000,13900
1585094400,13623
1585180800,13881
1585267200,13168
1585353600,13124
1585440000,12453
1585526400,13229
1585612800,13310
1585699200,13607
1585785600,14146
1585872000,14148
1585958400,14453
1586044800,14282
1586131200,17178
1586217600,16470
1586304000,17321
1586390400,16989
1586476800,15816
1586563200,15855
1586649600,15881
1586736000,15681
1586822400,15864
1586908800,15294
1586995200,17260
1587081600,17079
1587168000,18785
1587254400,18032
1587340800,17065
1587427200,17103
1587513600,18302
1587600000,18573
1587686400,18766
1587772800,19441
1587859200,19762
1587945600,19671
1588032000,19688
1588118400,21558
1588204800,20644
1588291200,21216
1588377600,21411
1588464000,21012
1588550400,20676
1588636800,20543
1588723200,19908
1588809600,21230
1588896000,21146
1588982400,21019
1589068800,18772
1589155200,18577
1589241600,19010
1589328000,19986
1589414400,20331
1589500800,19471
1589587200,20060
1589673600,20676
1589760000,21468
1589846400,21468
1589932800,20987
1590019200,19856
1590105600,20735
1590192000,20678
1590278400,19991
1590364800,20420
1590451200,20104
1590537600,20830
1590624000,22033
1590710400,22063
1590796800,24366
1590883200,23154
1590969600,24844
1591056000,23781
1591142400,24465
1591228800,24335
1591315200,24008
1591401600,24208
1591488000,24475
1591574400,24647
1591660800,24400
1591747200,24801
1591833600,23021
1591920000,23754
1592006400,23821
1592092800,23161
1592179200,23098
1592265600,23535
1592352000,23374
1592438400,23114
1592524800,22883
1592611200,22893
1592697600,22795
1592784000,24330
1592870400,24311
1592956800,23456
1593043200,23235
1593129600,22950
1593216000,22077
1593302400,22482
1593388800,22784
1593475200,22549
1593561600,23106
1593648000,22659
1593734400,22512
1593820800,22919
1593907200,22803
1593993600,24181
1594080000,23939
1594166400,24702
1594252800,24215
1594339200,24122
1594425600,23924
1594512000,24266
1594598400,23954
1594684800,24047
1594771200,23847
1594857600,23361
1594944000,23277
1595030400,23585
1595116800,23916
1595203200,23617
1595289600,24587
1595376000,26418
1595462400,27565
1595548800,27960
1595635200,30567
1595721600,31147
1595808000,32223
1595894400,31750
1595980800,31814
1596067200,33530
1596153600,34694
1596240000,38745
1596326400,37193
1596412800,38625
1596499200,38979
1596585600,40098
1596672000,39504
1596758400,37957
1596844800,39756
1596931200,39028
1597017600,39571
1597104000,37894
1597190400,38719
1597276800,42497
1597363200,43851
1597449600,43257
1597536000,43385
1597622400,43126
1597708800,42219
1597795200,40785
1597881600,41604
1597968000,38798
1598054400,39546
1598140800,39072
1598227200,40803
1598313600,38334
1598400000,38602
1598486400,38299
1598572800,39554
1598659200,39895
1598745600,42918
1598832000,43414
1598918400,47599
1599004800,43983
1599091200,38246
1599177600,38591
1599264000,33524
1599350400,35269
1599436800,35370
1599523200,33745
1599609600,35115
1599696000,36809
1599782400,37399
1599868800,38804
1599955200,36628
1600041600,37726
1600128000,36416
1600214400,36509
1600300800,38954
1600387200,38447
1600473600,38527
1600560000,37102
1600646400,34019
1600732800,34425
1600819200,32019
1600905600,34918
1600992000,35202
1601078400,35423
1601164800,35773
1601251200,35401
1601337600,35992
1601424000,35982
1601510400,35321
1601596800,34583
1601683200,34632
1601769600,35261
1601856000,35376
1601942400,34085
1602028800,34191
1602115200,35120
1602201600,36541
1602288000,37088
1602374400,37437
1602460800,38691
1602547200,38141
1602633600,37911
1602720000,37770
1602806400,36558
1602892800,36865
1602979200,37844
1603065600,37941
1603152000,36874
1603238400,39146
1603324800,41450
1603411200,40957
1603497600,41255
1603584000,40636
1603670400,39311
1603756800,40374
1603843200,38877
1603929600,38754
1604016000,38276
1604102400,38677
1604188800,39675
1604275200,38361
1604361600,38818
1604448000,40266
1604534400,41689
1604620800,45632
1604707200,43582
1604793600,45474
1604880000,44445
1604966400,45086
1605052800,46391
1605139200,46278
1605225600,47687
1605312000,46103
1605398400,44851
1605484800,46101
1605571200,48271
1605657600,47876
1605744000,47182
1605830400,51043
1605916800,55226
1606003200,56001
1606089600,60913
1606176000,60498
1606262400,56940
1606348800,52022
1606435200,51883
1606521600,53799
1606608000,57600
1606694400,61614
1606780800,58623
1606867200,59826
1606953600,61655
1607040000,56767
1607126400,59693
1607212800,60230
1607299200,59136
1607385600,55482
1607472000,57344
1607558400,55836
1607644800,54414
1607731200,56826
1607817600,59072
1607904000,58635
1607990400,58917
1608076800,63774
1608163200,64316
1608249600,65455
1608336000,65870
1608422400,63817
1608508800,60790
1608595200,63723
1608681600,58525
1608768000,61232
1608854400,62683
1608940800,63607
1609027200,68398
1609113600,72959
1609200000,73155
1609286400,75253
1609372800,73715
1609459200,73060
1609545600,77490
1609632000,97869
1609718400,104316
1609804800,110319
1609891200,121059
1609977600,122550
1610064000,121698
1610150400,127996
1610236800,125572
1610323200,108837
1610409600,105004
1610496000,112984
1610582400,123211
1610668800,116906
1610755200,122852
1610841600,123373
1610928000,125831
1611014400,136765
1611100800,137775
1611187200,111149
1611273600,123456
1611360000,123410
1611446400,139245
1611532800,131847
1611619200,136822
1611705600,124151
1611792000,133078
1611878400,137913
1611964800,137935
1612051200,131418
1612137600,137457
1612224000,151390
1612310400,166722
1612396800,159744
1612483200,172148
1612569600,167914
1612656000,161464
1612742400,175287
1612828800,177205
1612915200,174300
1613001600,178769
1613088000,184484
1613174400,181748
1613260800,180296
1613347200,177940
1613433600,178283
1613520000,185114
1613606400,193961
1613692800,195747
1613779200,191512
1613865600,193514
1613952000,177807
1614038400,157819
1614124800,162517
1614211200,148188
1614297600,144610
1614384000,146023
1614470400,142258
1614556800,157149
1614643200,148867
1614729600,156865
1614816000,153837
1614902400,152975
1614988800,165148
1615075200,172633
1615161600,183448
1615248000,187210
1615334400,179563
1615420800,182706
1615507200,176777
1615593600,192118
1615680000,184869
1615766400,179483
1615852800,180564
1615939200,182303
1616025600,177616
1616112000,180976
1616198400,180549
1616284800,178394
1616371200,168205
1616457600,166869
1616544000,158324
1616630400,158698
1616716800,169989
1616803200,171394
1616889600,168674
1616976000,181648
1617062400,184140
1617148800,191908
1617235200,196767
1617321600,213446
1617408000,200919
1617494400,207662
1617580800,210773
1617667200,211229
1617753600,196418
1617840000,208111
1617926400,206655
1618012800,213382
1618099200,215054
1618185600,213779
1618272000,229866
1618358400,243186
1618444800,251708
1618531200,242596
1618617600,231801
1618704000,224096
1618790400,216336
1618876800,233245
1618963200,235759
1619049600,240135
1619136000,236967
1619222400,221656
1619308800,232214
1619395200,253490
1619481600,266793
1619568000,275091
1619654400,275846
1619740800,277596
1619827200,294780
1619913600,295198
1620000000,343141
1620086400,324109
1620172800,352886
1620259200,349174
1620345600,348396
1620432000,391625
1620518400,392706
1620604800,394977
1620691200,417802
1620777600,381129
1620864000,371899
1620950400,408013
1621036800,364404
1621123200,358618
1621209600,328073
1621296000,337765
1621382400,244289
1621468800,277284
1621555200,243586
1621641600,229703
1621728000,209857
1621814400,264877
1621900800,270749
1621987200,288894
1622073600,274248
1622160000,241236
1622246400,227858
1622332800,238691
1622419200,270738
1622505600,263423
1622592000,270652
1622678400,285601
1622764800,269117
1622851200,262976
1622937600,271099
1623024000,259312
1623110400,250923
1623196800,261064
1623283200,247156
1623369600,235509
1623456000,236962
1623542400,250970
1623628800,258212
1623715200,254360
1623801600,236770
1623888000,237231
1623974400,223357
1624060800,216661
1624147200,224360
1624233600,188789
1624320000,188083
1624406400,196856
1624492800,198901
1624579200,181027
1624665600,183094
1624752000,198333
1624838400,208380
1624924800,216561
1625011200,227614
1625097600,210929
1625184000,215565
1625270400,222718
1625356800,232327
1625443200,219671
1625529600,232263
1625616000,231712
1625702400,211451
1625788800,214567
1625875200,211047
1625961600,214045
1626048000,203288
1626134400,194061
1626220800,199422
1626307200,191817
1626393600,187705
1626480000,189996
1626566400,189196
1626652800,181860
1626739200,178652
